Date,Holdings
2019-05-27,{}
2019-05-28,"{'4763.TW': 99000.00598803292, '2881.TW': 45000.0, '2882.TW': 42330.36958616203, '2330.TW': 243147.56493506493, '00632R.TW': 56811.35277563356}"
2019-05-29,"{'4763.TW': 99333.33732535529, '2881.TW': 45159.57692886923, '2882.TW': 42277.91629483719, '2330.TW': 242092.6948051948, '00632R.TW': 57042.10210124956, '8069.TWO': 134510.95205114182}"
2019-05-30,"{'4763.TW': 101333.33283433059, '2881.TW': 99480.05850145918, '2882.TW': 42487.72946013656, '2330.TW': 243675.0, '00632R.TW': 79358.78151383717, '8069.TWO': 295482.0583514222, 'TLT': 40825.70727290351, 'GLD': 30564.195078560093}"
2019-05-31,"{'4763.TW': 103000.0044910247, '2881.TW': 114000.74921116412, '2882.TW': 42802.45737456409, '2330.TW': 248421.91558441558, '00632R.TW': 78583.92026653633, '8069.TWO': 313047.6981165911, 'TLT': 51062.60506189845, 'GLD': 38277.34663712298}"
2019-06-03,"{'4763.TW': 108403.11904665179, '2881.TW': 118122.44366089198, '2882.TW': 43064.72383118829, '2330.TW': 253362.72772799083, '00632R.TW': 78583.92026653633, '8069.TWO': 307686.11921269353, 'TLT': 53016.37045723434, 'GLD': 40130.48633838898}"
2019-06-04,"{'4763.TW': 109718.68647380616, '2881.TW': 119524.34542405467, '2882.TW': 43484.3583282655, '2330.TW': 248569.53899752774, '00632R.TW': 78906.7806590908, '8069.TWO': 308181.59935625154, 'TLT': 52712.705546332385, 'GLD': 40371.59133693926, 'TWN': 407.4583211428532}"
2019-06-05,"{'4763.TW': 113434.67346579235, '2881.TW': 117472.24093048026, '2882.TW': 43212.63661409561, '2330.TW': 250776.007199283, '00632R.TW': 78583.92026653633, '8069.TWO': 310163.4632285788, 'TLT': 52455.16921345678, 'GLD': 40505.35771886801, 'TWN': 463.041610352727}"
2019-06-06,"{'4763.TW': 114183.8660885097, '2881.TW': 117618.17103198094, '2882.TW': 42851.81360481071, '2330.TW': 247579.9635908661, '00632R.TW': 79165.06774152441, '8069.TWO': 305716.92140073015, 'TLT': 52627.45108985676, 'GLD': 40640.01097982325, 'TWN': 465.9535977850998}"
2019-06-10,"{'4763.TW': 116669.19225403499, '2881.TW': 120344.96025157979, '2882.TW': 43482.760362755624, '2330.TW': 256117.20371468907, '00632R.TW': 77809.0590192355, '8069.TWO': 312653.7607028069, 'TLT': 52583.670199716915, 'GLD': 40462.851758454904, 'TWN': 473.61240808171476}"
2019-06-11,"{'4763.TW': 114187.39090587177, '2881.TW': 121162.87918486982, '2882.TW': 44271.576991336595, '2330.TW': 260919.49969446962, '00632R.TW': 77421.62531656018, '8069.TWO': 314140.2438188543, 'TLT': 52615.96050783692, 'GLD': 40414.464397101416, 'TWN': 475.12993265898893}"
2019-06-12,"{'4763.TW': 115251.30415403357, '2881.TW': 120890.31509519125, '2882.TW': 44061.2666367037, '2330.TW': 262520.2423995239, '00632R.TW': 77486.19862668103, '8069.TWO': 320086.1181953108, 'TLT': 52656.253157280626, 'GLD': 40624.31964585937, 'TWN': 476.5780221436276}"
2019-06-13,"{'4763.TW': 116669.783466956, '2881.TW': 118982.23426790549, '2882.TW': 43798.371056294476, '2330.TW': 256117.31018108406, '00632R.TW': 77938.19948142741, '8069.TWO': 323554.56712229736, 'TLT': 52837.581401633404, 'GLD': 40872.91379327948, 'TWN': 476.5781944573955}"
2019-06-14,"{'4763.TW': 115960.5490479823, '2881.TW': 118709.66025281414, '2882.TW': 43430.31833189365, '2330.TW': 251848.68836169597, '00632R.TW': 77938.19948142741, '8069.TWO': 319095.1553631436, 'TLT': 52970.55249320209, 'GLD': 40859.99947202638, 'TWN': 471.3760106725365}"
2019-06-17,"{'4763.TW': 113832.82949274524, '2881.TW': 120208.86164326358, '2882.TW': 43798.37108103725, '2330.TW': 248647.22198549556, '00632R.TW': 77809.0590192355, '8069.TWO': 319590.63716559287, 'TLT': 53063.227072789516, 'GLD': 40834.17327866721, 'TWN': 475.13317822916395}"
2019-06-18,"{'4763.TW': 114542.07200273738, '2881.TW': 121299.1956577318, '2882.TW': 44376.74143838471, '2330.TW': 251315.11063340862, '00632R.TW': 77809.0590192355, '8069.TWO': 318599.67356706463, 'TLT': 53329.16923659667, 'GLD': 41040.79760890499, 'TWN': 480.9133540461008}"
