Date,Total Value
2019-05-27,10000000.0
2019-05-28,10000000.0
2019-05-29,10021759.953034732
2019-05-30,10051040.270137247
2019-05-31,10177200.682124179
2019-06-03,10205806.334625702
2019-06-04,10140614.796030259
2019-06-05,10188940.2756121
2019-06-06,10142235.41619465
2019-06-10,10324239.818665106
2019-06-11,10379944.199493255
2019-06-12,10433019.197181448
2019-06-13,10375399.192979347
2019-06-14,10287362.68953165
2019-06-17,10249963.151242733
2019-06-18,10321339.71756523
2019-06-19,10475253.161325177
2019-06-20,10548936.913975459
2019-06-21,10553147.894499088
2019-06-24,10494001.4729547
2019-06-25,10430667.588055637
2019-06-26,10352501.57299099
2019-06-27,10479832.711004086
2019-06-28,10451023.518703476
2019-07-01,10611145.812983053
2019-07-02,10612890.61451806
2019-07-03,10520737.445788011
2019-07-04,10552461.501428653
2019-07-05,10525244.753077557
2019-07-08,10497514.869455786
2019-07-09,10466844.968071444
2019-07-10,10547411.068936367
2019-07-11,10567124.365843024
2019-07-12,10620724.925128223
2019-07-15,10676076.701832602
2019-07-16,10652582.85229638
2019-07-17,10584025.953440588
2019-07-18,10609456.153093027
2019-07-19,10648866.888914878
2019-07-22,10750410.011704555
2019-07-23,10742226.756942485
2019-07-24,10772504.71623727
2019-07-25,10749616.783103961
2019-07-26,10718726.6421235
2019-07-29,10696342.93132423
2019-07-30,10626860.0762617
2019-07-31,10632039.83071885
2019-08-01,10578678.83203567
2019-08-02,10498967.287533747
2019-08-05,10383113.428804092
2019-08-06,10474012.766199028
2019-08-07,10458454.45538917
2019-08-08,10566098.445378356
2019-08-12,10564514.86854797
2019-08-13,10493533.492092244
2019-08-14,10560382.370261427
2019-08-15,10592898.684126792
2019-08-16,10651102.784152405
2019-08-19,10701481.865058066
2019-08-20,10744625.13694987
2019-08-21,10742051.398774445
2019-08-22,10607131.38752075
2019-08-23,10617801.883546568
2019-08-26,10430289.224693187
2019-08-27,10505484.923102118
2019-08-28,10548452.97917115
2019-08-29,10580554.11551209
2019-08-30,10675173.007022161
2019-09-02,10665702.363679674
2019-09-03,10653102.636104131
2019-09-04,10730484.457522606
2019-09-05,10764626.469919281
2019-09-06,10797625.682063222
2019-09-10,10660406.278454244
